Alpha,Cl,Cd,Cm
-20.0,-0.2717460877310338,0.2097585617800228,-0.018326834221744547
-19.0,-0.23326577043466462,0.200961499805784,-0.024435110520707116
-18.0,-0.19552839717381854,0.1925034182176802,-0.030027484246369328
-17.0,-0.15890894107531842,0.18441938842632274,-0.03505065878598839
-16.0,-0.12377554045011527,0.17684897730181573,-0.039451359182286365
-15.0,-0.09070530482942703,0.1697044795457075,-0.04315671131871633
-14.0,-0.06029358090163196,0.16300528785542837,-0.046096636800997716
-13.0,-0.033235011974898,0.15676004456095102,-0.04820013310112077
-12.0,-0.010261695810601452,0.1509425546286605,-0.049415960640150906
-11.0,0.00803709966198916,0.14548651621210823,-0.0497532124394167
-10.0,0.021367919775547008,0.14025491868910572,-0.049324614743241346
-9.0,0.02911966126602483,0.13517342928975146,-0.048154389101297705
-8.0,0.030341596530430358,0.13023823213608093,-0.0461976693217187
-7.0,0.02444698666641072,0.12542148837725278,-0.043535206857186044
-6.0,0.011009302544665565,0.12065447237996439,-0.04031793023145487
-5.0,-0.010607431543577048,0.11579762111188677,-0.036679355899165086
-4.0,-0.04175461270060755,0.11060351439084955,-0.0326197413032263
-3.0,-0.08475954168933696,0.10467839669880644,-0.027876292616363683
-2.0,-0.14174718175294146,0.09755471994305981,-0.02175100885369662
-1.0,-0.18729921865511615,0.09106343297824958,-0.01574589727217442
0.0,-0.16350768138758973,0.09051118101727913,-0.015664016481547197
1.0,-0.11508067197401035,0.09325393085981681,-0.01664263473936085
2.0,-0.06177315527012224,0.09748903376189663,-0.017766094142622244
3.0,-0.007489847145873019,0.10272900011010193,-0.01914521925684056
4.0,0.0465509739544394,0.10876036376640544,-0.020867493937598302
5.0,0.09988141685945472,0.11545013099945474,-0.02298280586655751
6.0,0.15233860069208346,0.12269622954534459,-0.025518646970934866
7.0,0.2039404864747126,0.1304171148726753,-0.028496030053657802
8.0,0.2547283894046869,0.1385516722576339,-0.031923531858055146
9.0,0.3047332951622647,0.14705049822652871,-0.03579956678845444
10.0,0.3540196237818638,0.15587792533706193,-0.04012437206840537
11.0,0.4025895173316802,0.165010002896908,-0.04489348123548224
12.0,0.4504401739448945,0.17443022396868088,-0.05009532244207949
13.0,0.49747919903929194,0.18417689397782,-0.05570459933339723
14.0,0.5437009401253506,0.19429051542848774,-0.0617062762004685
15.0,0.5891829854712195,0.20467963486471716,-0.06809476424877982
16.0,0.6339019081017797,0.21533411066584818,-0.07485256028717792
17.0,0.6778214762693298,0.22624806589385696,-0.08196282314811547
18.0,0.7208844622284047,0.23740179531298777,-0.08941194478328342
19.0,0.7630238208918398,0.2488112932757201,-0.09718857539998324
20.0,0.80417470456777,0.2604805627834525,-0.10528340352964348
