ref age (deg),T,DT,PitchingMoment_1,RPM_1,CT_1,CQ_1,eta_1,J,AOA,Pitch (blade),Tilt,Yaw,v_inf
0.0,0.0,0.001,0.0,1600.0,0.0046259018915512,0.0009652570756756,0.7627347893649661,1.0,1.0,0.0,93.0,0.0,12.0
9.6,0.001,0.001,4.382429704320127e-06,1600.0,0.0046168453300279,0.000964865684726,0.7615503042511749,1.0,1.0,0.0,93.0,0.0,12.0
19.2,0.002,0.001,0.0009228354685396,1600.0,0.0048225105865134,0.0009885617629527,0.776407126717159,1.0,1.0,0.0,93.0,0.0,12.0
28.8,0.003,0.001,0.0016753899085686,1600.0,0.0054204752820209,0.001057428162656,0.8158430667045317,1.0,1.0,0.0,93.0,0.0,12.0
38.4,0.004,0.001,0.0021806585040032,1600.0,0.0063594067481325,0.0011652392385411,0.868603618570555,1.0,1.0,0.0,93.0,0.0,12.0
48.0,0.005,0.001,0.0024045686287344,1600.0,0.0074306121897245,0.0012920245653253,0.9153221168791912,1.0,1.0,0.0,93.0,0.0,12.0
57.6,0.006,0.001,0.0023181334945664,1600.0,0.0085087965803652,0.0014218390707723,0.952440443764784,1.0,1.0,0.0,93.0,0.0,12.0
67.2,0.007,0.001,0.0019196263845563,1600.0,0.0094967022452544,0.0015422963940318,0.9799978209460344,1.0,1.0,0.0,93.0,0.0,12.0
76.8,0.008,0.001,0.0012440428672594,1600.0,0.0103034791267366,0.0016405559192772,0.9995694842189564,1.0,1.0,0.0,93.0,0.0,12.0
86.4,0.009,0.001,0.0003631721730183,1600.0,0.0108617201692118,0.0017090975974015,1.0114673720442964,1.0,1.0,0.0,93.0,0.0,12.0
96.0,0.01,0.001,0.0006210472746835,1600.0,0.011127601419527,0.0017420439895598,1.0166291903579487,1.0,1.0,0.0,93.0,0.0,12.0
105.60000000000004,0.011,0.001,0.0015918544624394,1600.0,0.0110849571959465,0.0017371703040625,1.0155744244367697,1.0,1.0,0.0,93.0,0.0,12.0
115.20000000000005,0.012,0.001,0.0024341725381198,1600.0,0.010740161038206,0.0016950592315669,1.0084306713302056,1.0,1.0,0.0,93.0,0.0,12.0
124.80000000000004,0.013,0.001,0.0030492515191469,1600.0,0.0101227682465178,0.0016184697622921,0.9954394216950108,1.0,1.0,0.0,93.0,0.0,12.0
134.40000000000003,0.014,0.001,0.0033701727267223,1600.0,0.009286840853876,0.0015149604847409,0.9756337821938768,1.0,1.0,0.0,93.0,0.0,12.0
144.00000000000006,0.015,0.001,0.003371246735762,1600.0,0.0083143925530781,0.0013921286947806,0.9505419136823232,1.0,1.0,0.0,93.0,0.0,12.0
153.60000000000005,0.016,0.001,0.0030625469061448,1600.0,0.0073014351603724,0.0012642737052216,0.9191518360611016,1.0,1.0,0.0,93.0,0.0,12.0
163.20000000000007,0.017,0.001,0.0024923081085634,1600.0,0.0063198157064189,0.0011419505847993,0.8807998546479152,1.0,1.0,0.0,93.0,0.0,12.0
172.8000000000001,0.018,0.001,0.0017028207049103,1600.0,0.0054401408410751,0.0010411153125562,0.831632476759288,1.0,1.0,0.0,93.0,0.0,12.0
182.4000000000001,0.019,0.001,0.0007429904348372,1600.0,0.0047593930537829,0.000976420440074,0.7757733242140707,1.0,1.0,0.0,93.0,0.0,12.0
192.00000000000009,0.02,0.001,0.0002411133259501,1600.0,0.004319332028735,0.0009529461390418,0.7213870911104688,1.0,1.0,0.0,93.0,0.0,12.0
201.6000000000001,0.021,0.001,0.0010980065129286,1600.0,0.0042437938151806,0.000975154975851,0.6926291511350621,1.0,1.0,0.0,93.0,0.0,12.0
211.20000000000013,0.022,0.001,0.0017462975057985,1600.0,0.0047163563768806,0.0010472668556958,0.7167527805172342,1.0,1.0,0.0,93.0,0.0,12.0
220.80000000000013,0.023,0.001,0.0021771853538978,1600.0,0.0057247630763564,0.0011631891404951,0.7832985280831263,1.0,1.0,0.0,93.0,0.0,12.0
230.40000000000012,0.024,0.001,0.0023564180930032,1600.0,0.0069947667280154,0.0012993860032798,0.8567521104032274,1.0,1.0,0.0,93.0,0.0,12.0
240.0000000000001,0.025,0.001,0.0022366363236275,1600.0,0.0083220778860389,0.0014385839650145,0.920696924593796,1.0,1.0,0.0,93.0,0.0,12.0
249.6000000000002,0.026,0.001,0.0018022520725651,1600.0,0.0095596776031249,0.0015619801160359,0.9740648611862304,1.0,1.0,0.0,93.0,0.0,12.0
259.20000000000016,0.027,0.001,0.0010725254134265,1600.0,0.0105793507456874,0.0016623546211614,1.0128741150926734,1.0,1.0,0.0,93.0,0.0,12.0
268.8000000000002,0.028,0.001,0.0001278070334968,1600.0,0.0112927572174785,0.0017284009490979,1.0398618059290257,1.0,1.0,0.0,93.0,0.0,12.0
278.4000000000002,0.029,0.001,0.0009170350742124,1600.0,0.011636767125216,0.0017558257726203,1.054802269375214,1.0,1.0,0.0,93.0,0.0,12.0
288.00000000000017,0.03,0.001,0.0019352570291824,1600.0,0.0115988782242589,0.0017432861820064,1.0589304399734736,1.0,1.0,0.0,93.0,0.0,12.0
297.6000000000002,0.031,0.001,0.0027958936134373,1600.0,0.0111693604707713,0.0016914776780888,1.050950274500244,1.0,1.0,0.0,93.0,0.0,12.0
307.2000000000002,0.032,0.001,0.0033926448109842,1600.0,0.010390844378975,0.0016035798778463,1.0312889732899,1.0,1.0,0.0,93.0,0.0,12.0
316.8000000000002,0.033,0.001,0.0036670900082156,1600.0,0.0093628554558288,0.0014902846518702,0.9999061087960762,1.0,1.0,0.0,93.0,0.0,12.0
326.40000000000026,0.034,0.001,0.003613427496333,1600.0,0.0081904333950362,0.0013590189166087,0.9591830878541412,1.0,1.0,0.0,93.0,0.0,12.0
336.0000000000002,0.035,0.001,0.0032656443374674,1600.0,0.0069944520496979,0.001224951096891,0.9087722936482856,1.0,1.0,0.0,93.0,0.0,12.0
345.60000000000025,0.036,0.001,0.0026486918475506,1600.0,0.0058834530597528,0.0011035651381989,0.8485050900004303,1.0,1.0,0.0,93.0,0.0,12.0
355.2000000000002,0.037,0.001,0.0017495590052118,1600.0,0.0049962630044358,0.0010134395347389,0.7846348271265888,1.0,1.0,0.0,93.0,0.0,12.0
364.8000000000003,0.038,0.001,0.0006003950565122,1600.0,0.0044927858031083,0.0009665099814765,0.7398258502466583,1.0,1.0,0.0,93.0,0.0,12.0
374.40000000000026,0.039,0.001,0.0006242246614282,1600.0,0.0044388684924659,0.0009660731197327,0.7312778379614319,1.0,1.0,0.0,93.0,0.0,12.0
384.0000000000003,0.04,0.001,0.0016780353221218,1600.0,0.0048819191073506,0.0010125452319499,0.7673549123462855,1.0,1.0,0.0,93.0,0.0,12.0
393.6000000000003,0.041,0.001,0.0023660789814611,1600.0,0.0057871607695586,0.0011037018436095,0.8345145460032659,1.0,1.0,0.0,93.0,0.0,12.0
403.20000000000033,0.042,0.001,0.0026757245799985,1600.0,0.0069144385604505,0.0012253744626048,0.8980659457041311,1.0,1.0,0.0,93.0,0.0,12.0
412.8000000000003,0.043,0.001,0.002653969471511,1600.0,0.0080979802913659,0.0013594739926051,0.9480384321011084,1.0,1.0,0.0,93.0,0.0,12.0
422.4000000000003,0.044,0.001,0.0023321875018315,1600.0,0.0092402942394786,0.0014890426578606,0.9876402775119352,1.0,1.0,0.0,93.0,0.0,12.0
