ref age (deg),T,DT,PitchingMoment_1,RPM_1,CT_1,CQ_1,eta_1,J,AOA,Pitch (blade),Tilt,Yaw,v_inf
0.0,0.0,0.001,0.0,2200,0.00787381,0.001012617,1.23754223,1,1,0,93,0,3.0
13.2,0.001,0.001,3.59e-06,2200,0.007852135,0.001012168,1.234682402,1,1,0,93,0,3.0
26.4,0.002,0.001,0.000508679,2200,0.007853792,0.001013503,1.233316824,1,1,0,93,0,3.0
39.6,0.003,0.001,0.00086157,2200,0.007885196,0.001017618,1.233241214,1,1,0,93,0,3.0
52.8,0.004,0.001,0.000974384,2200,0.007932317,0.001023416,1.233582008,1,1,0,93,0,3.0
66.0,0.005,0.001,0.0008166,2200,0.007972725,0.001029461,1.232586061,1,1,0,93,0,3.0
79.2,0.006,0.001,0.000428898,2200,0.007998601,0.001034552,1.230500858,1,1,0,93,0,3.0
92.4,0.007,0.001,0.000102607,2200,0.008008362,0.001037721,1.228239843,1,1,0,93,0,3.0
105.6,0.008,0.001,0.00066858,2200,0.007999091,0.001038263,1.226177965,1,1,0,93,0,3.0
118.8,0.009,0.001,0.001153014,2200,0.007968728,0.001035963,1.224235553,1,1,0,93,0,3.0
132.0,0.01,0.001,0.001455706,2200,0.007921911,0.001031252,1.222602453,1,1,0,93,0,3.0
145.2,0.011,0.001,0.001512478,2200,0.007868891,0.00102511,1.221696383,1,1,0,93,0,3.0
158.4,0.012,0.001,0.001319694,2200,0.007811855,0.001018666,1.220512986,1,1,0,93,0,3.0
171.6,0.013,0.001,0.000929403,2200,0.007757056,0.001013159,1.218538628,1,1,0,93,0,3.0
184.8,0.014,0.001,0.000406473,2200,0.007724803,0.001009976,1.217296753,1,1,0,93,0,3.0
198.0,0.015,0.001,0.000150781,2200,0.007727035,0.001009856,1.217792836,1,1,0,93,0,3.0
211.2,0.016,0.001,0.000623604,2200,0.007762632,0.001012715,1.21994985,1,1,0,93,0,3.0
224.4,0.017,0.001,0.000901929,2200,0.007812524,0.001017659,1.221825438,1,1,0,93,0,3.0
237.6,0.018,0.001,0.000917941,2200,0.007852865,0.001023422,1.221219445,1,1,0,93,0,3.0
250.8,0.019,0.001,0.000677492,2200,0.007878314,0.00102897,1.218570088,1,1,0,93,0,3.0
264.0,0.02,0.001,0.000240111,2200,0.007890622,0.001033276,1.215388595,1,1,0,93,0,3.0
277.2,0.021,0.001,0.000303826,2200,0.007891851,0.001035506,1.212959901,1,1,0,93,0,3.0
290.4,0.022,0.001,0.00084705,2200,0.007876538,0.001035045,1.211144848,1,1,0,93,0,3.0
303.6,0.023,0.001,0.001279878,2200,0.007844843,0.001031959,1.209879454,1,1,0,93,0,3.0
