ref age (deg),T,DT,PitchingMoment_1,RPM_1,CT_1,CQ_1,eta_1,J,AOA,Pitch (blade),Tilt,Yaw,v_inf
0,0,0.001420858,0,1173,-0.002980605,0.000893523,-0.000530907,0.001,-1.5,-1.6,90.8,0,5.4
10,0.001420858,0.001420858,3.87E-07,1173,-0.00313127,0.00089424,-0.000557297,0.001,-1.5,-1.6,90.8,0,5.4
20,0.002841716,0.001420858,0.000217455,1173,-0.003595662,0.000904529,-0.000632669,0.001,-1.5,-1.6,90.8,0,5.4
30,0.004262575,0.001420858,0.000408267,1173,-0.004364846,0.000932233,-0.000745186,0.001,-1.5,-1.6,90.8,0,5.4
40,0.005683433,0.001420858,0.000521346,1173,-0.005369262,0.000982482,-0.000869782,0.001,-1.5,-1.6,90.8,0,5.4
50,0.007104291,0.001420858,0.000564413,1173,-0.006689184,0.001052485,-0.001011527,0.001,-1.5,-1.6,90.8,0,5.4
60,0.008525149,0.001420858,0.00054105,1173,-0.008427112,0.001139504,-0.001177017,0.001,-1.5,-1.6,90.8,0,5.4
70,0.009946007,0.001420858,0.000402339,1173,-0.009672453,0.001231423,-0.001250114,0.001,-1.5,-1.6,90.8,0,5.4
80,0.011366866,0.001420858,0.000193996,1173,-0.010009121,0.001311827,-0.001214337,0.001,-1.5,-1.6,90.8,0,5.4
90,0.012787724,0.001420858,5.98E-20,1173,-0.009629513,0.001369092,-0.001119417,0.001,-1.5,-1.6,90.8,0,5.4
100,0.014208582,0.001420858,0.00014043,1173,-0.008949536,0.00139853,-0.001018472,0.001,-1.5,-1.6,90.8,0,5.4
110,0.01562944,0.001420858,0.0002168,1173,-0.008045739,0.001399871,-0.000914741,0.001,-1.5,-1.6,90.8,0,5.4
120,0.017050298,0.001420858,0.000230952,1173,-0.006994653,0.001375249,-0.000809478,0.001,-1.5,-1.6,90.8,0,5.4
130,0.018471157,0.001420858,0.000189111,1173,-0.005861188,0.001329394,-0.000701701,0.001,-1.5,-1.6,90.8,0,5.4
140,0.019892015,0.001420858,9.93E-05,1173,-0.004770529,0.001266781,-0.000599356,0.001,-1.5,-1.6,90.8,0,5.4
150,0.021312873,0.001420858,1.19E-05,1173,-0.003857121,0.001195697,-0.000513407,0.001,-1.5,-1.6,90.8,0,5.4
160,0.022733731,0.001420858,0.000113167,1173,-0.003244719,0.001123045,-0.000459833,0.001,-1.5,-1.6,90.8,0,5.4
