ref age (deg),T,DT,PitchingMoment_1,RPM_1,CT_1,CQ_1,eta_1,J,AOA,Pitch (blade),Tilt,Yaw,v_inf
0,0,0.000931619,0,1789,0.013196766,0.001296972,0.001619411,0.001,6.7,1.8,92.8,0,1.3
10,0.000931619,0.000931619,5.96E-07,1789,0.013178292,0.001296692,0.001617493,0.001,6.7,1.8,92.8,0,1.3
20,0.001863238,0.000931619,0.000239881,1789,0.013107537,0.001295487,0.001610306,0.001,6.7,1.8,92.8,0,1.3
30,0.002794857,0.000931619,0.000447584,1789,0.013128097,0.001296204,0.001611939,0.001,6.7,1.8,92.8,0,1.3
40,0.003726477,0.000931619,0.000588861,1789,0.013166571,0.001297017,0.00161565,0.001,6.7,1.8,92.8,0,1.3
50,0.004658096,0.000931619,0.000638144,1789,0.013184097,0.001297169,0.00161761,0.001,6.7,1.8,92.8,0,1.3
60,0.005589715,0.000931619,0.000591611,1789,0.013181269,0.00129678,0.001617749,0.001,6.7,1.8,92.8,0,1.3
70,0.006521334,0.000931619,0.000455318,1789,0.013164541,0.001296021,0.001616642,0.001,6.7,1.8,92.8,0,1.3
80,0.007452953,0.000931619,0.000248892,1789,0.013144691,0.001295395,0.001614985,0.001,6.7,1.8,92.8,0,1.3
90,0.008384572,0.000931619,7.53E-19,1789,0.013131335,0.001295016,0.001613816,0.001,6.7,1.8,92.8,0,1.3
100,0.009316192,0.000931619,0.000259924,1789,0.013130131,0.001294945,0.001613756,0.001,6.7,1.8,92.8,0,1.3
110,0.010247811,0.000931619,0.00049488,1789,0.013141643,0.00129495,0.001615165,0.001,6.7,1.8,92.8,0,1.3
120,0.01117943,0.000931619,0.000673167,1789,0.01316525,0.001295349,0.001617568,0.001,6.7,1.8,92.8,0,1.3
130,0.012111049,0.000931619,0.000761029,1789,0.013207097,0.001295723,0.00162224,0.001,6.7,1.8,92.8,0,1.3
140,0.013042668,0.000931619,0.000725656,1789,0.013276112,0.001295797,0.001630625,0.001,6.7,1.8,92.8,0,1.3
150,0.013974287,0.000931619,0.000560626,1789,0.013346298,0.001295271,0.001639911,0.001,6.7,1.8,92.8,0,1.3
