Category,MAPE,Epsilon,R2
Wing CL,159.94868871743626,79.43600377900263,-3.1076499117859755
Wing CD,88.98214485259537,51.39092608704503,-155.5064203933943
Wing,124.4654167850158,65.41346493302383,-79.30703515259015
Canard CL,56.5030206545737,56.719126576045426,-671.7421831778241
Canard CD,92.11921442792837,90.6922768623738,-276.117174149247
Canard,74.31111754125104,73.70570171920961,-473.9296786635355
Rotor L1 CT,8.366555306254863,8.639184855195026,0.12825648201477186
Rotor L1 CQ,2.564059512664244,2.960849096977915,0.8324394353895384
Rotor L1,5.4653074094595535,5.800016976086471,0.4803479587021551
Rotor L2 CT,7.724172695970816,7.995971553435249,0.33720934046809925
Rotor L2 CQ,2.4505249246106775,2.8402939962580245,0.8491464862555941
Rotor L2,5.087348810290747,5.418132774846637,0.5931779133618467
Rotor L3 CT,10.550214980729457,10.849494708066649,0.1362043631605048
Rotor L3 CQ,2.6389784787939092,3.0495842988958985,0.8541741295729961
Rotor L3,6.594596729761683,6.949539503481274,0.49518924636675044
Rotor L4 CT,11.708364157989928,12.153349256331328,0.06741524812313596
Rotor L4 CQ,2.836077861983049,3.2216307776383983,0.8507988910707263
Rotor L4,7.27222100998649,7.687490016984864,0.45910706959693115
Rotor R1 CT,7.739147809202748,8.115782467132645,0.19890511961375004
Rotor R1 CQ,3.7938142262440557,4.116327919686459,0.7761423688428479
Rotor R1,5.766481017723403,6.116055193409552,0.48752374422829897
Rotor R2 CT,7.295523742442569,7.878202799319483,0.4065286084963592
Rotor R2 CQ,4.01008724373542,4.317575478995227,0.7577777064842189
Rotor R2,5.652805493088995,6.097889139157356,0.5821531574902892
Rotor R3 CT,8.535878250190958,9.023415270717106,0.4859519233667592
Rotor R3 CQ,4.142668761983586,4.4948521860695125,0.7546730007187227
Rotor R3,6.339273506087271,6.759133728393309,0.6203124620427409
Rotor R4 CT,8.981021004900585,9.534458508673348,0.370242916528836
Rotor R4 CQ,4.623622976274742,4.9719011891101665,0.7242483101113988
Rotor R4,6.802321990587663,7.253179848891758,0.5472456133201173
